inci	cas	ec	functions	restriction
1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE	59354-71-1	261-715-3	PERFUMING	
1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE	10031-71-7	233-092-8	PERFUMING	
1,10-DECANEDIOL	112-47-0	203-975-2	SOLVENT	
1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL	41199-19-3	255-256-8	PERFUMING	
1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE	65405-72-3	265-742-1	PERFUMING	
1,2,4-BENZENETRIACETATE	613-03-6	210-327-2		
1,2,4-TRIHYDROXYBENZENE	533-73-3	208-575-1	HAIR DYEING	
1,2,6-HEXANETRIOL	106-69-4	203-424-6	HUMECTANT, SOLVENT, VISCOSITY CONTROLLING	
1,2-BIS-(2-AMINOETHOXY)ETHANE				
1,2-BUTANEDIOL	584-03-2	209-527-2	HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING	
1,2-DIHYDROLINALOOL	18479-51-1	242-359-8	PERFUMING	
1,2-HEXANEDIOL	6920-22-5	230-029-6	SOLVENT	
1,2-HEXANEDIYL DICAPRATE			BLEACHING	
1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE				
1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE	81892-72-0	279-845-4	HAIR DYEING	III/202
1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL	74918-21-1	278-022-7	NOT REPORTED	III/202
1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE	38661-72-2	609-567-4	NOT REPORTED	
1,3-DIMETHYL-3-PHENYLBUTYL ACETATE	68083-58-9	268-407-8	PERFUMING	
1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE	104516-97-4		PERFUMING	
1,4-BUTANEDIOL	110-63-4	203-786-5	SOLVENT	
1,4-BUTANEDIOL BISDECANOATE			BLEACHING	
1,4-BUTANEDIOL DIMETHACRYLATE	2082-81-7	218-218-1	FILM FORMING	
1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER	67423-06-7			
1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER	119553-67-2		ABRASIVE, BINDING, FILM FORMING	
1,4-CYCLOHEXANEDICARBOXYLIC ACID	1076-97-7	214-068-6		
1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE			BLEACHING	
1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE	13786-79-3 / 71735-79-0	237-443-6 / 275-967-7	PERFUMING	
1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE	7779-23-9	231-922-3	PERFUMING	
1,5-NAPHTHALENEDIOL	83-56-7	201-487-4	HAIR DYEING	III/32
1,5-PENTANEDIOL	111-29-5	203-854-4	SOLVENT	
1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER				
1,6-HEXAMETHYLENE DIISOCYANATE	822-06-0	212-485-8	NOT REPORTED	
1,6-HEXANEDIAMINE	124-09-4	204-679-6	BUFFERING	
1,7-NAPHTHALENEDIOL	575-38-2	209-383-0		
1-ACETONAPHTHONE	941-98-0	213-384-1	MASKING, PERFUMING	
